11:29:08.238 [main] INFO  net.lomibao.nes.components.CPU6502 - 38,26,ROL,ZeroPage,Rotate Left,2,5,ZP0
11:29:08.239 [main] INFO  net.lomibao.nes.components.CPU6502 - 39,27,???,???,???,1,5,IMP
11:29:08.239 [main] INFO  net.lomibao.nes.components.CPU6502 - 40,28,PLP,Implied,Pull Processor Status,1,4,IMP
11:29:08.239 [main] INFO  net.lomibao.nes.components.CPU6502 - 41,29,AND,Immediate,Logical AND,2,2,IMM
11:29:08.239 [main] INFO  net.lomibao.nes.components.CPU6502 - 42,2A,ROL,Accumulator,Rotate Left,1,2,IMP
11:29:08.239 [main] INFO  net.lomibao.nes.components.CPU6502 - 43,2B,???,???,???,1,2,IMP
11:29:08.240 [main] INFO  net.lomibao.nes.components.CPU6502 - 44,2C,BIT,Absolute,Bit Test,3,4,ABS
11:29:08.240 [main] INFO  net.lomibao.nes.components.CPU6502 - 45,2D,AND,Absolute,Logical AND,3,4,ABS
11:29:08.240 [main] INFO  net.lomibao.nes.components.CPU6502 - 46,2E,ROL,Absolute,Rotate Left,3,6,ABS
11:29:08.240 [main] INFO  net.lomibao.nes.components.CPU6502 - 47,2F,???,???,???,1,6,IMP
11:29:08.240 [main] INFO  net.lomibao.nes.components.CPU6502 - 48,30,BMI,Relative,Branch if Minus,2,2,REL
11:29:08.241 [main] INFO  net.lomibao.nes.components.CPU6502 - 49,31,AND,(Indirect);Y,Logical AND,2,5,IZY
11:29:08.241 [main] INFO  net.lomibao.nes.components.CPU6502 - 50,32,???,???,???,1,2,IMP
11:29:08.241 [main] INFO  net.lomibao.nes.components.CPU6502 - 51,33,???,???,???,1,8,IMP
11:29:08.241 [main] INFO  net.lomibao.nes.components.CPU6502 - 52,34,???,???,???,1,4,IMP
11:29:08.242 [main] INFO  net.lomibao.nes.components.CPU6502 - 53,35,AND,ZeroPage;X,Logical AND,2,4,ZPX
11:29:08.242 [main] INFO  net.lomibao.nes.components.CPU6502 - 54,36,ROL,ZeroPage;X,Rotate Left,2,6,ZPX
11:29:08.242 [main] INFO  net.lomibao.nes.components.CPU6502 - 55,37,???,???,???,1,6,IMP
11:29:08.242 [main] INFO  net.lomibao.nes.components.CPU6502 - 56,38,SEC,Implied,Set Carry Flag,1,2,IMP
11:29:08.242 [main] INFO  net.lomibao.nes.components.CPU6502 - 57,39,AND,Absolute;Y,Logical AND,3,4,ABY
11:29:08.243 [main] INFO  net.lomibao.nes.components.CPU6502 - 58,3A,???,???,???,1,2,IMP
11:29:08.243 [main] INFO  net.lomibao.nes.components.CPU6502 - 59,3B,???,???,???,1,7,IMP
11:29:08.243 [main] INFO  net.lomibao.nes.components.CPU6502 - 60,3C,???,???,???,1,4,IMP
11:29:08.243 [main] INFO  net.lomibao.nes.components.CPU6502 - 61,3D,AND,Absolute;X,Logical AND,3,4,ABX
11:29:08.243 [main] INFO  net.lomibao.nes.components.CPU6502 - 62,3E,ROL,Absolute;X,Rotate Left,3,7,ABX
